Unnamed: 0.1,Unnamed: 0,Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Gls,Ast,PK_x,PKatt_x,CrdY,CrdR,Gls90,Ast90,G+A,Gls+Ast,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Tackle,TackleW,TakleD,Tkl%,Press,Succ_x,%,Blocks,ShotB,PassB,Int,Clr,Passes Completed,Passes Attempted,Cmp%,Touches,Succ_y,Att,Succ%,#Pl
365,367,Weston McKennie,20000000,USA,"MF,DF",Schalke 04,Bundesliga,20.0,52.0,43.0,3820.0,4.0,4.0,0.0,0.0,14.0,0.0,0.09,0.09,0.18,8.0,0.0,0.0,54.0,12.0,0.0,22.22,1.27,0.28,0.07,0.33,77.0,51.0,28.0,36.8,922.0,243.0,26.36,83.0,22.0,61.0,83.0,122.0,1329.0,1760.0,75.51,2301.0,43.0,74.0,58.11,48.0
366,368,Todd Cantwell,20000000,ENG,"MF,FW",Norwich City,Premier Leauge,21.0,32.0,27.0,2209.0,6.0,2.0,0.0,0.0,4.0,0.0,0.24,0.08,0.32,8.0,0.0,0.0,38.0,16.0,0.0,42.11,1.55,0.65,0.16,0.38,43.0,27.0,16.0,24.2,522.0,137.0,26.25,53.0,4.0,49.0,15.0,32.0,817.0,1024.0,79.79,1396.0,50.0,86.0,58.14,54.0
367,369,Gaetano Castrovilli,20000000,ITA,MF,Fiorentina,Serie A,22.0,27.0,27.0,2255.0,3.0,2.0,0.0,0.0,9.0,0.0,0.12,0.08,0.2,5.0,0.0,0.0,38.0,10.0,1.0,26.32,1.52,0.4,0.08,0.3,62.0,40.0,12.0,26.7,601.0,155.0,25.79,47.0,3.0,44.0,16.0,22.0,769.0,954.0,80.61,1357.0,85.0,121.0,70.25,90.0
368,370,Kieran Tierney,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,371,Franck Kessié,20000000,CIV,MF,Milan,Serie A,22.0,60.0,58.0,5129.0,9.0,3.0,4.0,4.0,11.0,0.0,0.16,0.05,0.21,12.0,1.0,1.0,74.0,16.0,0.0,21.62,1.3,0.28,0.12,0.56,103.0,75.0,33.0,25.0,1099.0,313.0,28.48,80.0,15.0,65.0,55.0,91.0,2556.0,2933.0,87.15,3544.0,67.0,101.0,66.34,72.0
370,372,Mauro Arambarri,20000000,URU,MF,Getafe,La Liga,23.0,62.0,60.0,5219.0,2.0,3.0,0.0,0.0,17.0,1.0,0.03,0.05,0.08,5.0,0.0,0.0,67.0,15.0,4.0,22.39,1.16,0.26,0.03,0.13,137.0,97.0,41.0,34.0,1550.0,373.0,24.06,116.0,10.0,106.0,69.0,76.0,1107.0,1633.0,67.79,2278.0,63.0,83.0,75.9,68.0
371,373,Yerry Mina,20000000,COL,DF,Everton,Premier Leauge,24.0,39.0,33.0,3001.0,3.0,1.0,0.0,0.0,6.0,0.0,0.09,0.03,0.12,4.0,0.0,0.0,33.0,11.0,0.0,33.33,0.99,0.33,0.09,0.27,57.0,30.0,17.0,52.0,304.0,93.0,30.59,50.0,21.0,29.0,34.0,229.0,1379.0,1617.0,85.28,2033.0,3.0,5.0,60.0,4.0
372,374,Manuel Akanji,20000000,SUI,DF,Dortmund,Bundesliga,24.0,54.0,50.0,4514.0,1.0,1.0,0.0,0.0,3.0,0.0,0.02,0.02,0.04,2.0,0.0,0.0,19.0,4.0,0.0,21.05,0.38,0.08,0.05,0.25,78.0,48.0,22.0,56.7,382.0,146.0,38.22,62.0,23.0,39.0,61.0,187.0,3465.0,3757.0,92.23,4196.0,16.0,23.0,69.57,17.0
373,375,Sergio Reguilón,20000000,ESP,DF,Sevilla,La Liga,22.0,40.0,38.0,3257.0,1.0,6.0,0.0,0.0,11.0,0.0,0.03,0.17,0.2,7.0,0.0,0.0,31.0,6.0,0.0,19.35,0.86,0.17,0.03,0.17,74.0,47.0,34.0,50.9,523.0,149.0,28.49,62.0,10.0,52.0,54.0,115.0,1831.0,2275.0,80.48,2732.0,49.0,83.0,59.04,55.0
374,376,Mario Hermoso,20000000,ESP,DF,Atlético Madrid,La Liga,24.0,48.0,45.0,3967.0,3.0,0.0,0.0,0.0,10.0,0.0,0.07,0.0,0.07,3.0,0.0,0.0,30.0,13.0,0.0,43.33,0.68,0.29,0.1,0.23,45.0,33.0,22.0,40.0,253.0,80.0,31.62,63.0,30.0,33.0,50.0,286.0,1856.0,2231.0,83.19,2690.0,15.0,18.0,83.33,15.0
